TITLE = "Cavity Field Data"
variables="x(m)" "y(m)" "p(N/m^2)" "u(m/s)" "v(m/s)"
zone T="n=0"
I= 33 J= 33
DATAPACKING=POINT
2.343750e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 1.562500e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 1.718750e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 1.875000e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.031250e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.187500e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.343750e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.500000e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.656250e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.812500e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.843750e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
5.000000e-02 2.968750e-02 8.013338e-01 0.000000e+00 0.000000e+00
0.000000e+00 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-03 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-03 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-03 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
6.250000e-03 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
7.812500e-03 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
9.375000e-03 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.093750e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.250000e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.406250e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.562500e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.718750e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
1.875000e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.031250e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.187500e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.343750e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.500000e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.656250e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.812500e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
2.968750e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.125000e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.281250e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.437500e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.593750e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.750000e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
3.906250e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.062500e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.218750e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.375000e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.531250e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
4.687500e-02 3.125000e-02 8.013338e-01 0.000000e+00 0.000000e+00
